gene_id,gene_mapping_id,gene_product,go_terms
37,25,P49748,GO:0003995!GO:0004466!GO:0005515!GO:0005654!GO:0005730!GO:0005739!GO:0005759!GO:0005829!GO:0006635!GO:0015980!GO:0017099!GO:0030855!GO:0031314!GO:0031966!GO:0033539!GO:0036498!GO:0042645!GO:0042802!GO:0050660
38,26,P24752,GO:0003985!GO:0005739!GO:0005759!GO:0006085!GO:0006550!GO:0009083!GO:0015936!GO:0015937!GO:0016453!GO:0030955!GO:0034435!GO:0046356!GO:0046951!GO:0046952!GO:1902224!GO:1902860
39,27,Q9BWD1,GO:0003985!GO:0005515!GO:0005654!GO:0005730!GO:0005737!GO:0005829!GO:0006629!GO:0006695
40,28,Q16515,GO:0005515!GO:0005886!GO:0005887!GO:0007268!GO:0007417!GO:0007422!GO:0015280!GO:0015672!GO:0034220!GO:0050915
41,29,P78348,GO:0005515!GO:0005794!GO:0005886!GO:0005887!GO:0007165!GO:0009268!GO:0015280!GO:0034220!GO:0035725!GO:0044736!GO:0050915!GO:0071467
43,30,P22303,GO:0001540!GO:0002076!GO:0003990!GO:0004104!GO:0005515!GO:0005518!GO:0005576!GO:0005794!GO:0005886!GO:0006581!GO:0006656!GO:0007155!GO:0007399!GO:0007416!GO:0016020!GO:0016787!GO:0017171!GO:0032223!GO:0042136!GO:0042166!GO:0042803!GO:0042982!GO:0043236!GO:0045202!GO:0048471!GO:0050714
47,31,P53396,GO:0003878!GO:0005515!GO:0005524!GO:0005576!GO:0005654!GO:0005829!GO:0005886!GO:0006085!GO:0006101!GO:0006107!GO:0006695!GO:0008610!GO:0015936!GO:0031325!GO:0035578!GO:0043312!GO:0046949!GO:1904813
48,32,P21399,GO:0003723!GO:0003994!GO:0005515!GO:0005737!GO:0005739!GO:0005783!GO:0005794!GO:0005829!GO:0006101!GO:0006879!GO:0010040!GO:0030350!GO:0051538!GO:0051539
49,33,P10323,GO:0002020!GO:0004252!GO:0005515!GO:0005537!GO:0005576!GO:0007190!GO:0007340!GO:0032991!GO:0043159
50,34,Q99798,GO:0003994!GO:0005506!GO:0005739!GO:0005759!GO:0006091!GO:0006099!GO:0006101
51,35,Q15067,GO:0000038!GO:0003997!GO:0005777!GO:0005782!GO:0005829!GO:0006091!GO:0006625!GO:0006629!GO:0006693!GO:0009062!GO:0016401!GO:0016559!GO:0019216!GO:0019395!GO:0030165!GO:0033540!GO:0036109!GO:0042632!GO:0042803!GO:0047485!GO:0050665!GO:0055088!GO:0071949
52,36,P24666,GO:0003993!GO:0005515!GO:0005737!GO:0009898
53,37,P11117,GO:0003993!GO:0005515!GO:0005764!GO:0016021
54,38,P13686,GO:0003993!GO:0005829!GO:0006771!GO:0008198!GO:0008199!GO:0016021
55,39,P15309,GO:0003993!GO:0005515!GO:0005615!GO:0005886!GO:0008253!GO:0016311!GO:0016791!GO:0035577!GO:0042802!GO:0042803!GO:0043312!GO:0046085!GO:0051930!GO:0052642!GO:0060168
58,40,P68133,GO:0001725!GO:0005200!GO:0005515!GO:0005524!GO:0005829!GO:0005865!GO:0005884!GO:0006936!GO:0015629!GO:0017022!GO:0030017!GO:0030049!GO:0030240!GO:0043531
59,41,P62736,GO:0005737!GO:0005829!GO:0006936!GO:0009615!GO:0032991!GO:0045893!GO:0072144
